innings,player_dismissed,date,season,batting_team,striker,wicket_type,bowling_team,runs_of_bat,over,match_no,match_id,noballs,extras,legbyes,bowler,byes,fielder,venue,wide
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,7.3,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,4,7.4,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,7.5,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,7.6,37,202437,0,2,1,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,8.1,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,8.2,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,8.3,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,8.4,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,4,8.5,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,8.6,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,9.1,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,9.2,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
